idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,Total_wages,ttl_exp,tenure
75,39,Black,Single,Has been married,11,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,Union,12.5,40,500,14,9.33
78,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,17.7,35,619,16,9.08
80,45,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,12.08,8,97,6,0
85,38,White,Single,Has been married,11,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,,9.41,40,376,6,1.5
86,44,White,Single,Never married,17,College grad,Not south,SMSA,Not central city,Entertainment/Rec svc,Laborers,Union,13.17,44,580,16,1.25
103,36,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Other,Union,11.06,35,387,10,0
104,41,White,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,3.74,18,67,9,2.75
105,41,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,4.03,8,32,9,5.58
106,38,Black,Single,Has been married,12,Not college grad,South,SMSA,Central city,Public administration,Sales,Nonunion,10.84,40,433,17,17.42
107,43,Black,Single,Has been married,8,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,4.35,40,174,8,1.08
110,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,4.71,20,94,7,2.58
121,39,Black,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Union,9.73,38,370,21,20.67
123,41,Other,Single,Has been married,6,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Operatives,Union,2.9,37,107,7,0.75
126,39,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.06,40,403,20,19.75
128,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,8.52,40,341,19,19
129,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.49,37,314,14,10.17
130,43,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,5.6,40,224,6,0.67
131,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,4.23,38,161,12,0.25
132,36,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,5.62,43,242,10,2.67
134,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Nonunion,4.65,30,139,6,1.5
137,36,Black,Married,Has been married,17,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,15.48,30,464,10,9.83
139,44,Black,Single,Has been married,9,Not college grad,Not south,SMSA,Central city,Professional services,Sales,Union,4.83,35,169,9,8.5
141,43,White,Single,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,,40.2,40,1608,13,1.17
142,43,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Union,15.48,40,619,15,5.75
143,37,White,Married,Has been married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.03,40,401,7,0.58
144,43,White,Married,Has been married,10,Not college grad,South,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,3.62,40,145,14,0.33
147,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,9.3,20,186,8,3.08
152,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,10.22,50,511,14,4.83
159,36,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,10.01,37,370,17,17.33
166,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,4.23,4,17,11,1.08
167,37,White,Married,Has been married,13,Not college grad,South,Not SMSA,Not central city,Construction,Sales,Nonunion,4.83,25,121,17,7.5
168,41,White,Married,Has been married,17,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.75,40,310,11,3.83
169,36,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,9.85,37,364,15,14.83
172,44,White,Married,Has been married,15,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.87,30,326,18,3.42
173,43,Black,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Personal services,Transport,,3.22,35,113,12,2.92
176,38,Black,Single,Never married,12,Not college grad,Not south,SMSA,Central city,Public administration,Professional/Technical,Union,8.16,40,327,13,3.5
183,43,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Union,8.45,40,338,17,13.25
184,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.29,40,332,14,12.08
188,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Union,9.68,40,387,13,8.42
195,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Ag/Forestry/Fisheries,Sales,Nonunion,4.53,40,181,13,2.17
202,36,White,Single,Has been married,14,Not college grad,South,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,,3.34,30,100,12,0.25
203,41,White,Married,Has been married,11,Not college grad,South,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,8.45,24,203,19,3.17
204,38,Black,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Managers/Admin,Nonunion,6.04,40,242,6,4
206,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,10.32,18,186,10,1.33
207,38,Black,Single,Never married,18,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,11.61,50,581,13,2.08
210,37,Black,Single,Has been married,11,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,,5.02,40,201,16,10.92
213,43,White,Single,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,6.44,40,258,17,14.42
215,36,White,Single,Never married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,5.03,40,201,16,3.75
218,35,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Professional services,Managers/Admin,Nonunion,4.83,38,184,10,2.08
219,35,White,Single,Never married,13,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,Nonunion,11.07,40,443,17,8.92
221,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Professional/Technical,Nonunion,8.32,35,291,9,1.83
223,37,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Entertainment/Rec svc,Professional/Technical,Nonunion,13.08,40,523,16,8.75
224,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,5.63,40,225,11,4.67
225,35,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,12.56,45,565,17,15.75
226,34,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Public administration,Professional/Technical,Nonunion,6.68,40,267,8,6.67
227,42,White,Single,Has been married,15,Not college grad,South,SMSA,Central city,Manufacturing,Sales,Nonunion,5.64,40,225,19,1.33
228,42,White,Married,Has been married,16,College grad,South,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,4.03,15,60,5,0.33
231,42,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Business/Repair svc,Sales,Nonunion,18.07,30,542,11,9.83
233,36,White,Married,Has been married,16,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.81,40,232,14,13.92
236,36,White,Married,Has been married,18,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,24.66,20,493,9,3.75
237,36,White,Single,Never married,17,College grad,Not south,SMSA,Central city,Professional services,Sales,Union,7.21,40,289,12,1.75
242,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Operatives,Union,4.69,24,113,15,8.75
243,35,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,12.7,40,508,17,8.58
244,36,White,Single,Never married,13,Not college grad,South,Not SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,9.57,40,383,16,11.25
245,36,White,Married,Has been married,15,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Nonunion,6.19,40,248,10,1
250,44,White,Married,Has been married,18,College grad,South,SMSA,Not central city,Professional services,Other,Nonunion,7.68,50,384,9,3.92
254,39,White,Single,Has been married,12,Not college grad,South,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.81,40,392,16,9.75
255,45,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Transport/Comm/Utility,Sales,Nonunion,4.03,40,161,25,24.75
257,38,Black,Married,Has been married,16,College grad,South,SMSA,Central city,Professional services,Professional/Technical,Union,11.61,40,464,12,2.75
260,38,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,6.96,40,279,11,2.5
261,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Union,4.26,40,170,5,2.83
262,44,White,Single,Has been married,14,Not college grad,South,SMSA,Not central city,Professional services,Managers/Admin,,4.51,40,180,15,1.25
265,44,White,Single,Has been married,14,Not college grad,South,SMSA,Central city,Professional services,Professional/Technical,Nonunion,9.23,40,369,11,0.75
269,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Other,Union,3.32,14,46,8,1.75
270,38,White,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Laborers,Union,8.05,40,322,16,10.67
271,36,White,Single,Never married,11,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,5.11,40,205,11,11.33
273,42,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Business/Repair svc,Laborers,,3.55,20,71,9,0.33
275,38,White,Married,Has been married,10,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,,1,16,16,7,1
276,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Sales,Nonunion,7.32,22,161,16,16.17
279,35,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Other,,9.89,55,544,16,6.25
285,38,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.89,50,294,10,2.58
287,41,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.86,15,73,6,0.75
289,44,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Construction,Sales,,2.8,46,129,19,0.75
291,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Central city,Professional services,Laborers,,3.05,40,122,8,4.58
294,34,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,5.64,30,169,16,1.75
296,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,8.81,32,282,15,11.42
298,37,White,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,23.24,40,930,12,2.25
299,41,Black,Single,Has been married,16,College grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Professional/Technical,Nonunion,12.22,38,464,12,6.75
301,38,White,Single,Never married,18,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,12.97,40,519,15,6.5
305,40,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,15.79,40,632,16,15.5
306,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,6.96,40,279,17,13.42
307,35,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,,4.39,22,97,14,2.33
308,37,White,Married,Has been married,18,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,,11.15,50,557,14,0.75
312,36,White,Married,Has been married,15,College grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.66,16,155,10,0.67
315,38,White,Single,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,29.73,50,1486,15,1.5
319,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Union,4.49,18,81,8,2.67
322,41,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Operatives,,6.69,16,107,12,0.83
324,44,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,,5.85,25,146,7,0.92
325,34,White,Single,Never married,12,Not college grad,South,SMSA,Not central city,Transport/Comm/Utility,Laborers,Union,4.61,60,277,16,3.25
327,38,White,Single,Has been married,9,Not college grad,Not south,SMSA,Central city,Business/Repair svc,Laborers,Nonunion,4.03,30,121,4,
329,42,Black,Single,Never married,14,Not college grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,12.18,40,487,19,2.5
330,43,Black,Single,Has been married,16,College grad,South,Not SMSA,Not central city,Professional services,Sales,Union,4.75,40,190,16,0.67
331,37,Black,Single,Has been married,15,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Union,8.05,40,322,13,12.42
332,36,Black,Single,Never married,9,Not college grad,Not south,SMSA,Central city,Manufacturing,Operatives,Nonunion,7.45,40,298,11,4.75
333,35,Black,Married,Has been married,16,College grad,Not south,SMSA,Central city,Professional services,Professional/Technical,Union,8.52,40,341,14,11.5
338,41,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Nonunion,7.25,18,130,9,1.33
341,41,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,11.97,40,479,18,6.17
345,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.81,32,282,10,5.08
347,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,11.07,40,443,17,17
350,39,Black,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,9.68,40,387,17,2.42
352,35,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Finance/Ins/Real estate,Sales,Nonunion,3.54,20,71,14,14.17
354,36,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,4.42,35,155,7,2.5
356,43,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Business/Repair svc,Managers/Admin,Nonunion,7.32,40,293,10,9.75
358,45,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Managers/Admin,Nonunion,8.05,40,322,24,17.42
359,44,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.84,40,433,15,6
360,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Manufacturing,Sales,,38.71,40,1548,15,10.75
363,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,9.9,36,356,12,9.25
367,37,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Professional services,Sales,Union,10.35,35,362,8,8.08
376,41,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,11.51,42,483,18,17.5
377,38,White,Married,Has been married,16,College grad,South,SMSA,Central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,23.82,65,1549,14,3.83
379,43,White,Single,Never married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,7.55,40,302,22,20.17
382,42,White,Single,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Managers/Admin,Union,7.96,35,279,21,1.58
384,41,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Professional services,Other,Nonunion,4.83,25,121,7,
389,40,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,5.47,15,82,2,0.08
392,43,White,Married,Has been married,8,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,8.05,40,322,9,2.75
395,36,White,Single,Never married,16,College grad,Not south,Not SMSA,Not central city,Manufacturing,Clerical/Unskilled,Nonunion,6.55,40,262,16,13.75
396,37,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,Nonunion,3.26,32,104,14,1.92
397,37,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,4.83,20,97,13,0.75
398,35,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,8.41,40,337,11,6.42
399,37,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Manufacturing,Managers/Admin,Nonunion,16.53,40,661,17,0
402,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Union,6.18,40,247,14,9.25
403,40,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Nonunion,5.73,40,229,11,10.5
406,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.28,40,251,13,0.5
407,37,White,Married,Has been married,18,College grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,,1.03,15,15,9,4.58
409,36,White,Married,Has been married,14,Not college grad,Not south,SMSA,Central city,Professional services,Sales,,5.96,26,155,12,1.67
410,43,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,10.19,42,428,12,2.5
414,36,White,Married,Has been married,16,College grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,5.52,39,215,15,5.5
415,35,White,Single,Never married,15,Not college grad,Not south,SMSA,Not central city,Professional services,Professional/Technical,Nonunion,5.79,50,289,9,3.33
417,34,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,Nonunion,3.34,20,67,8,0.17
419,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Sales,Nonunion,6.28,40,251,9,2.33
422,36,White,Single,Never married,11,Not college grad,Not south,SMSA,Not central city,Personal services,Transport,Nonunion,1.72,35,60,13,7.17
423,42,White,Single,Has been married,12,Not college grad,South,Not SMSA,Not central city,Personal services,Managers/Admin,Nonunion,3.49,30,105,12,5.17
425,34,White,Single,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Manufacturing,Operatives,,3.64,40,145,9,1
426,40,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,2.68,30,80,1,0.42
429,43,White,Married,Has been married,13,Not college grad,South,SMSA,Not central city,Professional services,Sales,Nonunion,7.75,40,310,6,3.08
431,36,White,Single,Never married,16,College grad,Not south,Not SMSA,Not central city,Public administration,Professional/Technical,Union,11.41,38,434,16,8.33
432,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Manufacturing,Operatives,Nonunion,7.04,55,387,9,6.75
433,43,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Clerical/Unskilled,Nonunion,6.66,40,266,13,1.83
434,34,White,Single,Never married,12,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,,3.05,30,92,7,1.17
436,37,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Public administration,Sales,Nonunion,7.85,40,314,18,18.25
440,37,White,Married,Has been married,11,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Sales,Nonunion,8.15,38,310,13,2.83
441,42,White,Married,Has been married,9,Not college grad,Not south,SMSA,Not central city,Personal services,Laborers,Nonunion,7.25,16,116,2,0.08
443,37,White,Married,Has been married,13,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Clerical/Unskilled,Nonunion,5.64,20,113,11,1.75
447,39,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Professional services,Managers/Admin,Nonunion,11.05,37,409,14,4
448,38,White,Single,Has been married,16,College grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Managers/Admin,Nonunion,11.63,45,523,9,4.17
449,45,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Professional services,Sales,Nonunion,8.62,42,362,9,6.92
450,39,White,Married,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Professional services,Professional/Technical,Nonunion,11.25,20,225,18,10.75
451,40,White,Single,Has been married,10,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Laborers,Nonunion,5.24,43,225,6,5.75
455,39,White,Married,Has been married,13,Not college grad,Not south,SMSA,Central city,Personal services,Laborers,Nonunion,9.2,7,64,11,2
456,36,White,Married,Has been married,12,Not college grad,Not south,SMSA,Central city,Wholesale/Retail trade,Operatives,,3.76,30,113,7,0.33
457,38,White,Married,Has been married,14,Not college grad,Not south,SMSA,Not central city,Finance/Ins/Real estate,Professional/Technical,,35.73,45,1608,10,2.33
459,38,White,Single,Never married,8,Not college grad,Not south,SMSA,Not central city,Professional services,Laborers,,5.85,30,176,19,9.67
460,42,White,Married,Has been married,13,Not college grad,Not south,Not SMSA,Not central city,Ag/Forestry/Fisheries,Sales,,3.1,3,9,7,1.5
467,41,White,Single,Has been married,14,Not college grad,Not south,Not SMSA,Not central city,Public administration,Sales,Union,7.24,40,290,17,8.33
469,35,White,Single,Has been married,11,Not college grad,Not south,Not SMSA,Not central city,Public administration,Sales,Nonunion,6.77,48,325,15,9.92
474,35,White,Married,Has been married,12,Not college grad,Not south,SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,2.86,20,57,7,1.58
477,42,White,Married,Has been married,12,Not college grad,Not south,Not SMSA,Not central city,Wholesale/Retail trade,Sales,Nonunion,3.1,30,93,10,2.25
